timestamp,time_imu,time_gps,acc_x,acc_y,acc_z,acc_gx,acc_gy,acc_gz,gyro_x,gyro_y,gyro_z,gps_lat,gps_lon,gps_velocity,action
1749804758861,1749804758855,1749804750272,0.06314297713339329,-0.009220595347788184,0.21624738022089005,-6.412870315772294,-0.29673127692407,-7.142351880535483,-0.36753349309459105,-0.36876869011730556,-0.17481103452408653,18.799283969903247,98.95073552141689,0.0,Halt
1749804759362,1749804759355,1749804750272,-0.15369243210852146,0.1495202792567201,-0.0628588994950056,-6.634632660022378,-0.1349730820586905,-7.417236743164062,0.06438417790153017,-0.0634041924979788,-0.3062613067934347,18.799283969903247,98.95073552141689,0.0,Halt
1749804759862,1749804759855,1749804750272,0.0259288065046072,-0.048026601745281366,0.023871873974800107,-6.451176957812905,-0.33623565911557524,-7.333738375744224,-0.6006421932167199,-0.028953171891684053,0.022548508843048383,18.799283969903247,98.95073552141689,0.0,Halt
1749804760362,1749804760355,1749804750272,0.11984744565188885,0.15924630337599663,-0.43110535190999505,-6.354810340991616,-0.12479783460088073,-7.791031477355957,2.2337068597903005,0.8962608379836582,-0.22953661790791788,18.799283969903247,98.95073552141689,0.0,Halt
1749804760863,1749804760855,1749804750272,0.00442892235815525,0.03337523178672418,0.09649754972457886,-6.481852666583657,-0.24944588546752927,-7.2532339294433585,-0.987453361635143,-1.8466191220713446,1.0017884345991188,18.799283969903247,98.95073552141689,0.0,Halt
1749804761363,1749804761355,1749804750272,-0.13736732025146484,0.06571259015938266,0.004658639460802078,-6.617724195319414,-0.2196680571182631,-7.350199096679687,0.027136461634379664,0.14673588878629293,-0.25554432408088684,18.799283969903247,98.95073552141689,0.0,Halt
1749804761864,1749804761855,1749804750272,-0.10650456447601318,0.033566790569759905,0.22465163595080373,-6.591836305347084,-0.2537852663787082,-7.125742106518149,0.04411959360348414,-1.1645444787228236,0.1069804192065833,18.799283969903247,98.95073552141689,0.0,Halt
1749804762364,1749804762356,1749804761851,0.13154548223018644,-0.10947662082305178,0.448194433876872,-6.35181758891642,-0.39953229244071986,-6.903829540142416,-1.3888501322218638,-1.4870232159268075,0.7743859840025654,18.799265043863667,98.95074317285328,0.0,Halt
1749804762865,1749804762856,1749804761851,-0.13063888877928256,0.11571653812592848,0.16059505110383032,-6.616676147571206,-0.1713351476364769,-7.189188450512289,-0.06931453394564802,0.25928694758093646,-0.4204589214257274,18.799265043863667,98.95074317285328,0.0,Halt
1749804763365,1749804763356,1749804761851,-0.05329378329217434,0.02971714767059311,0.18558511545360087,-6.541856761169433,-0.2576759902069345,-7.161954406628012,-0.014459003544814532,-0.13736751060725352,0.11612926416672366,18.799265043863667,98.95074317285328,0.0,Halt
1749804763865,1749804763857,1749804761851,-0.05521276865601539,0.0388618465042673,0.1173790097117424,-6.55667146846354,-0.24301155983740463,-7.218966918182373,0.03391070195013649,-0.03269672920665928,-0.05100908002127171,18.799265043863667,98.95074317285328,0.0,Halt
1749804764366,1749804764355,1749804761851,-0.04987140762805938,0.03731560344295576,0.08616787889003753,-6.591088117328286,-0.2278981983902864,-7.2153750311702485,-0.04516870799195546,-0.07227316645481391,0.024536840943462566,18.799265043863667,98.95074317285328,0.0,Halt
1749804764866,1749804764855,1749804761851,0.003859598037600517,0.004026460770796984,0.06778758806884289,-6.562057837677002,-0.2504934400253929,-7.211933366283774,-0.006645613979863734,-0.03746953733261726,0.029104503270482147,18.799265043863667,98.95074317285328,0.0,Halt
1749804765367,1749804765355,1749804761851,0.007812719577550888,0.02343233178006485,0.060870356026291844,-6.5689411674499505,-0.2259529278077185,-7.209239889416098,0.061353161395418014,-0.009025187853672708,-0.06737274584916776,18.799265043863667,98.95074317285328,0.0,Halt
1749804765867,1749804765855,1749804761851,0.01302665483355522,0.01015192138114944,0.04155833731293678,-6.570288490405678,-0.236427523538284,-7.2227072737544775,0.03323317920098296,-0.004857358397363325,0.013437970305176962,18.799265043863667,98.95074317285328,0.0,Halt
1749804766367,1749804766355,1749804761851,0.008626374047994613,0.010439670547656715,0.04646247596740723,-6.577620732989907,-0.23373391880644484,-7.215225393566489,-0.0654593590666386,0.014719404506921267,0.002288260114299721,18.799265043863667,98.95074317285328,0.0,Halt
1749804766868,1749804766856,1749804761851,-0.006989712756872176,-0.002537354724202305,0.030531916385889053,-6.596176380378007,-0.24510632189325987,-7.228543140301108,-0.06966232664457653,-0.050228944352009315,0.011117386854238685,18.799265043863667,98.95074317285328,0.0,Halt
1749804767368,1749804767355,1749804761851,0.005033317992091179,-0.0010552264076657593,0.03726619307696819,-6.585850216674804,-0.24226331701967863,-7.220313072094321,-0.07996901540105966,-0.02657559904985848,-0.0035721622554902234,18.799265043863667,98.95074317285328,0.0,Halt
1749804767868,1749804767855,1749804761851,0.008535188633203506,0.003477083259727806,0.0439887793302536,-6.584055734473466,-0.23642743220673873,-7.212083003887534,-0.00940000782459038,-0.023963318496593056,0.02986981796285414,18.799265043863667,98.95074317285328,0.0,Halt
1749804768369,1749804768355,1749804761851,0.01991290721595287,-0.275316312848404,0.2704641235768795,-6.572981967273354,-0.5181949670211412,-6.985232396587729,-1.535563022480561,1.188097745745378,-0.07151545568397884,18.799265043863667,98.95074317285328,0.0,Halt
1749804768869,1749804768855,1749804768511,-0.30743513309955595,0.1425317720762454,-0.3065355539113283,-6.903831293708086,-0.08035535668637603,-7.559691741943359,7.464529328799345,2.1041185344412945,5.490950863879215,18.799253764713796,98.95073501614131,0.0,Halt
1749804769370,1749804769355,1749804768511,-0.2063531781941652,-0.08968089197967201,0.042647301593422886,-6.811504307666421,-0.2985270560333505,-7.202955694580078,1.7428027012863838,1.171347026971039,0.8110031083906798,18.799253764713796,98.95073501614131,0.0,Halt
1749804769870,1749804769855,1749804768511,0.017611060014367103,-0.1381195816571824,0.017740239351987836,-6.587198124152422,-0.34970311651919034,-7.228094227489828,-5.874582525878145,-1.9981227497025709,-5.035323885386474,18.799253764713796,98.95073501614131,0.0,Halt
1749804770370,1749804770355,1749804768511,-0.09586626608371734,0.10792793007632717,-0.030120412975549696,-6.702419079047441,-0.10983411075752228,-7.274182609447837,0.2104558041106129,-0.315242258500061,0.25548133159404934,18.799253764713796,98.95073501614131,0.0,Halt
1749804770871,1749804770855,1749804768511,-0.054690790608525275,-0.020166973308566958,0.1886860040783882,-6.659472502246499,-0.24061732164463026,-7.0569088087886565,0.2953850042725563,0.2728287047449859,-0.764380130394467,18.799253764713796,98.95073501614131,0.0,Halt
1749804771371,1749804771355,1749804768511,-0.20903028844892976,0.18736860133688896,0.4322141899347305,-6.807763367572426,-0.03486550687709823,-6.818835965728759,-1.3125548914804115,2.043633794246247,-0.7282937864100566,18.799253764713796,98.95073501614131,0.0,Halt
1749804771872,1749804771855,1749804768511,-0.1106119997948408,0.20475626439154146,0.21678630940318105,-6.704513420978188,-0.022445713629201055,-7.038503383526206,0.18009119763932951,-0.7251131594126521,0.6317125103076963,18.799253764713796,98.95073501614131,0.0,Halt
1749804772372,1749804772355,1749804768511,0.18944295992553234,-0.014691117447055875,0.26375965750217434,-6.414515744891762,-0.24151516553349792,-6.982388697594404,0.7726812648352654,0.5997956766464614,1.651773782009862,18.799253764713796,98.95073501614131,0.0,Halt
1749804772872,1749804772855,1749804768511,0.07413841840028762,-0.05251320910742506,-0.14466332247853278,-6.528838874164223,-0.27638081854106855,-7.3917977660030125,1.2433856724773982,0.43971525240840315,1.0610433138567412,18.799253764713796,98.95073501614131,0.0,Halt
1749804773373,1749804773371,1749804768511,-0.1795809066027403,0.01108198703918606,-0.044075288569927214,-6.7853177270084615,-0.1976713841645047,-7.289146369823813,2.160926711872172,0.9491203123006215,2.83341112929576,18.799253764713796,98.95073501614131,0.0,Halt
1749804773873,1749804773872,1749804768511,-0.07301262924075126,-0.10231787164220586,0.036246786901354786,-6.677279377093911,-0.31708208236694335,-7.209988661956786,-4.543098618886689,1.1525199306890164,-5.531807774833762,18.799253764713796,98.95073501614131,0.0,Halt
1749804774374,1749804774372,1749804768511,0.30672786161303517,0.05783968309350311,1.1866934178322552,-6.288071385192871,-0.1957260405167006,-6.066906422314047,-12.649392522100433,-7.786211601913082,-8.531535504523214,18.799253764713796,98.95073501614131,0.0,Halt
1749804774873,1749804774871,1749804768511,0.02334288166463375,0.025199834642931816,0.12246084302067756,-6.573430880084634,-0.22864634987646712,-7.129333993530273,2.192498620980321,0.1600049453116443,2.7327093814940304,18.799253764713796,98.95073501614131,0.0,Halt
1749804775374,1749804775372,1749804775087,0.23733517643511293,-0.13055122876213862,0.9369254608035087,-6.368427362933755,-0.3591302855560556,-6.30752368915975,5.939978598973255,-5.074492458955558,12.362602270361705,18.799254038124833,98.95073943736433,0.0,Halt
1749804775874,1749804775872,1749804775087,0.012586509850621222,-0.008016772515978664,0.03227437613904476,-6.590639204517006,-0.22221189638217909,-7.214926702880859,0.22268049536340023,0.5377994902932837,-0.1155701224697082,18.799254038124833,98.95073943736433,0.0,Halt
1749804776374,1749804776372,1749804775087,-0.0594300940901041,-0.12280132702141999,0.33826515564918513,-6.666954382434487,-0.34656076337285335,-6.904727950286865,-10.606986667800907,-2.903402425598408,-10.262847586469814,18.799254038124833,98.95073943736433,0.0,Halt
1749804776874,1749804776872,1749804775087,0.03401625137031078,0.17915493627563117,-0.6231722305983305,-6.55697074367106,-0.08753801646577195,-7.879766576385498,-7.603277791598984,5.666727489716786,-14.384986278882984,18.799254038124833,98.95073943736433,0.0,Halt
1749804777374,1749804777372,1749804775087,0.14138766180872916,-0.135034950047452,-0.10689619414210319,-6.451625870624184,-0.4343980185135267,-7.360373869213461,-3.895056673738226,-1.8928588624220961,-4.280320750948788,18.799254038124833,98.95073943736433,0.0,Halt
1749804777874,1749804777872,1749804775087,0.43319735575318336,-0.09606058307942003,0.49194765088558196,-6.150704649463296,-0.4037222914764657,-6.769454971966147,-1.3697421444102242,1.5136469731463997,1.2591882756175747,18.799254038124833,98.95073943736433,0.0,Halt
1749804778374,1749804778372,1749804775087,-0.04135843082666397,-0.0712444322581403,0.054741644012928005,-6.6344830224186175,-0.374692523281835,-7.198465981945395,0.1379170740311751,1.6617742461718183,-1.0078220529571789,18.799254038124833,98.95073943736433,0.0,Halt
1749804778874,1749804778871,1749804775087,0.02652268074452877,0.01844937400203198,-0.19989011965990067,-6.568043926349282,-0.2846107223510742,-7.451802445110678,6.111732670276511,0.46111028637493917,6.336909493059845,18.799254038124833,98.95073943736433,0.0,Halt
1749804779374,1749804779372,1749804775087,-0.1450549521446228,-0.11855187114970758,-0.05170563731789589,-6.742371734729409,-0.4031237410614267,-7.301865566143393,5.120122818366298,-0.26797444127709025,7.239791345670184,18.799254038124833,98.95073943736433,0.0,Halt
1749804779874,1749804779872,1749804775087,-0.2869716062635183,0.1113923365175724,0.08183774073123931,-6.890662600055337,-0.16056116710053756,-7.16300245437622,-0.2743605881097728,-0.405358920635563,-0.1708484442482081,18.799254038124833,98.95073943736433,0.0,Halt
